2025-07-07 15:26:17,408 - INFO - Token: <STRING, "Nome completo:", Linha 45, Coluna 13>
2025-07-07 15:26:17,409 - INFO - Token: <VIRG, ,, Linha 45, Coluna 29>
2025-07-07 15:26:17,409 - INFO - Token: <VAR, nome, Linha 45, Coluna 31>
2025-07-07 15:26:17,409 - INFO - Token: <VIRG, ,, Linha 45, Coluna 35>
2025-07-07 15:26:17,410 - INFO - Token: <VAR, sobrenome, Linha 45, Coluna 37>
2025-07-07 15:26:17,410 - INFO - Token: <PRINT, print, Linha 46, Coluna 4>
2025-07-07 15:26:17,410 - INFO - Token: <DUPONT, ::, Linha 46, Coluna 10>
2025-07-07 15:26:17,410 - INFO - Token: <STRING, "Idade atual:", Linha 46, Coluna 13>
2025-07-07 15:26:17,411 - INFO - Token: <VIRG, ,, Linha 46, Coluna 27>
2025-07-07 15:26:17,411 - INFO - Token: <VAR, idade, Linha 46, Coluna 29>
2025-07-07 15:26:17,411 - INFO - Token: <PRINT, print, Linha 47, Coluna 4>
2025-07-07 15:26:17,412 - INFO - Token: <DUPONT, ::, Linha 47, Coluna 10>
2025-07-07 15:26:17,412 - INFO - Token: <STRING, "Altura:", Linha 47, Coluna 13>
2025-07-07 15:26:17,412 - INFO - Token: <VIRG, ,, Linha 47, Coluna 22>
2025-07-07 15:26:17,412 - INFO - Token: <VAR, altura, Linha 47, Coluna 24>
2025-07-07 15:26:17,413 - INFO - Token: <PRINT, print, Linha 48, Coluna 4>
2025-07-07 15:26:17,413 - INFO - Token: <DUPONT, ::, Linha 48, Coluna 10>
2025-07-07 15:26:17,414 - INFO - Token: <STRING, "Peso:", Linha 48, Coluna 13>
2025-07-07 15:26:17,414 - INFO - Token: <VIRG, ,, Linha 48, Coluna 20>
2025-07-07 15:26:17,414 - INFO - Token: <VAR, peso, Linha 48, Coluna 22>
2025-07-07 15:26:17,415 - INFO - Token: <LET, let, Linha 54, Coluna 4>
2025-07-07 15:26:17,415 - INFO - Token: <VAR, a, Linha 54, Coluna 8>
2025-07-07 15:26:17,416 - INFO - Token: <POINT2, :, Linha 54, Coluna 9>
2025-07-07 15:26:17,416 - INFO - Token: <INT_TYPE, int, Linha 54, Coluna 11>
2025-07-07 15:26:17,416 - INFO - Token: <EQUALS, =, Linha 54, Coluna 15>
2025-07-07 15:26:17,417 - INFO - Token: <INT, 10, Linha 54, Coluna 17>
2025-07-07 15:26:17,417 - INFO - Token: <LET, let, Linha 55, Coluna 4>
2025-07-07 15:26:17,417 - INFO - Token: <VAR, b, Linha 55, Coluna 8>
2025-07-07 15:26:17,418 - INFO - Token: <POINT2, :, Linha 55, Coluna 9>
2025-07-07 15:26:17,418 - INFO - Token: <INT_TYPE, int, Linha 55, Coluna 11>
2025-07-07 15:26:17,418 - INFO - Token: <EQUALS, =, Linha 55, Coluna 15>
2025-07-07 15:26:17,418 - INFO - Token: <INT, 3, Linha 55, Coluna 17>
2025-07-07 15:26:17,419 - INFO - Token: <LET, let, Linha 57, Coluna 4>
2025-07-07 15:26:17,419 - INFO - Token: <VAR, soma, Linha 57, Coluna 8>
2025-07-07 15:26:17,420 - INFO - Token: <POINT2, :, Linha 57, Coluna 12>
2025-07-07 15:26:17,420 - INFO - Token: <INT_TYPE, int, Linha 57, Coluna 14>
2025-07-07 15:26:17,421 - INFO - Token: <EQUALS, =, Linha 57, Coluna 18>
2025-07-07 15:26:17,422 - INFO - Token: <VAR, a, Linha 57, Coluna 20>
2025-07-07 15:26:17,422 - INFO - Token: <ADD, +, Linha 57, Coluna 22>
2025-07-07 15:26:17,423 - INFO - Token: <VAR, b, Linha 57, Coluna 24>
2025-07-07 15:26:17,423 - INFO - Token: <LET, let, Linha 58, Coluna 4>
2025-07-07 15:26:17,424 - INFO - Token: <VAR, subtracao, Linha 58, Coluna 8>
2025-07-07 15:26:17,424 - INFO - Token: <POINT2, :, Linha 58, Coluna 17>
2025-07-07 15:26:17,425 - INFO - Token: <INT_TYPE, int, Linha 58, Coluna 19>
2025-07-07 15:26:17,425 - INFO - Token: <EQUALS, =, Linha 58, Coluna 23>
2025-07-07 15:26:17,425 - INFO - Token: <VAR, a, Linha 58, Coluna 25>
2025-07-07 15:26:17,426 - INFO - Token: <SUB, -, Linha 58, Coluna 27>
2025-07-07 15:26:17,426 - INFO - Token: <VAR, b, Linha 58, Coluna 29>
2025-07-07 15:26:17,427 - INFO - Token: <LET, let, Linha 59, Coluna 4>
2025-07-07 15:26:17,427 - INFO - Token: <VAR, multiplicacao, Linha 59, Coluna 8>
2025-07-07 15:26:17,427 - INFO - Token: <POINT2, :, Linha 59, Coluna 21>
2025-07-07 15:26:17,428 - INFO - Token: <INT_TYPE, int, Linha 59, Coluna 23>
2025-07-07 15:26:17,428 - INFO - Token: <EQUALS, =, Linha 59, Coluna 27>
2025-07-07 15:26:17,429 - INFO - Token: <VAR, a, Linha 59, Coluna 29>
2025-07-07 15:26:17,429 - INFO - Token: <MUL, *, Linha 59, Coluna 31>
2025-07-07 15:26:17,430 - INFO - Token: <VAR, b, Linha 59, Coluna 33>
2025-07-07 15:26:17,430 - INFO - Token: <LET, let, Linha 60, Coluna 4>
2025-07-07 15:26:17,430 - INFO - Token: <VAR, divisao, Linha 60, Coluna 8>
2025-07-07 15:26:17,431 - INFO - Token: <POINT2, :, Linha 60, Coluna 15>
2025-07-07 15:26:17,431 - INFO - Token: <INT_TYPE, int, Linha 60, Coluna 17>
2025-07-07 15:26:17,431 - INFO - Token: <EQUALS, =, Linha 60, Coluna 21>
2025-07-07 15:26:17,431 - INFO - Token: <VAR, a, Linha 60, Coluna 23>
2025-07-07 15:26:17,431 - INFO - Token: <DIV, /, Linha 60, Coluna 25>
2025-07-07 15:26:17,432 - INFO - Token: <VAR, b, Linha 60, Coluna 27>
2025-07-07 15:26:17,432 - INFO - Token: <PRINT, print, Linha 62, Coluna 4>
2025-07-07 15:26:17,432 - INFO - Token: <DUPONT, ::, Linha 62, Coluna 10>
2025-07-07 15:26:17,433 - INFO - Token: <STRING, "Operações com", Linha 62, Coluna 13>
2025-07-07 15:26:17,433 - INFO - Token: <VIRG, ,, Linha 62, Coluna 28>
2025-07-07 15:26:17,433 - INFO - Token: <VAR, a, Linha 62, Coluna 30>
2025-07-07 15:26:17,433 - INFO - Token: <VIRG, ,, Linha 62, Coluna 31>
2025-07-07 15:26:17,434 - INFO - Token: <STRING, "e", Linha 62, Coluna 33>
2025-07-07 15:26:17,434 - INFO - Token: <VIRG, ,, Linha 62, Coluna 36>
2025-07-07 15:26:17,435 - INFO - Token: <VAR, b, Linha 62, Coluna 38>
2025-07-07 15:26:17,435 - INFO - Token: <PRINT, print, Linha 63, Coluna 4>
2025-07-07 15:26:17,436 - INFO - Token: <DUPONT, ::, Linha 63, Coluna 10>
2025-07-07 15:26:17,436 - INFO - Token: <STRING, "Soma:", Linha 63, Coluna 13>
2025-07-07 15:26:17,437 - INFO - Token: <VIRG, ,, Linha 63, Coluna 20>
2025-07-07 15:26:17,437 - INFO - Token: <VAR, soma, Linha 63, Coluna 22>
2025-07-07 15:26:17,437 - INFO - Token: <PRINT, print, Linha 64, Coluna 4>
2025-07-07 15:26:17,437 - INFO - Token: <DUPONT, ::, Linha 64, Coluna 10>
2025-07-07 15:26:17,438 - INFO - Token: <STRING, "Subtração:", Linha 64, Coluna 13>
2025-07-07 15:26:17,438 - INFO - Token: <VIRG, ,, Linha 64, Coluna 25>
2025-07-07 15:26:17,438 - INFO - Token: <VAR, subtracao, Linha 64, Coluna 27>
2025-07-07 15:26:17,438 - INFO - Token: <PRINT, print, Linha 65, Coluna 4>
